Subrubriek,Titel,Kamerstuk nummer,Relevantie vanwege:,Indiener,Dossier,Parlementair Jaar,Link ,,,,,
Motie,Motie van het lid Buitenweg over het voorkomen van indirecte discriminatie door besluitvorming via algoritmen,"Kamerstuk 32761, nr. 138",non-discriminatie,TK,Verwerking en bescherming van persoonsgegevens,2018/2019,https://zoek.officielebekendmakingen.nl/kst-32761-138,,,,,
Brief,Transparantie van algoritmes in gebruik bij de overheid,"Kamerstuk 26 643 en 32 761, nr. 570. ",grondrechten,JenV,Verwerking en bescherming van persoonsgegevens + Informatie- en communicatietechnologie (ICT),2018/2019,https://zoek.officielebekendmakingen.nl/kst-26643-570.html ,,,,,
Kabinetsreactie,Kabinetsreactie inzake advies Afdeling advisering van de Raad van State over de effecten van de digitalisering voor de rechtsstatelijke verhoudingen,"Kamerstuk 26 643, nr.578",Zelflerende mechanismen,BZK,Verwerking en bescherming van persoonsgegevens + Informatie- en communicatietechnologie (ICT),2018/2019,https://zoek.officielebekendmakingen.nl/kst-26643-578,,,,,
Initiatiefnota,Initiatiefnota van het lid Middendorp: Menselijke grip op algoritmen,"Kamerstuk 35 212, nr. 2",regulering,TK,Initiatiefnota van het lid Middendorp: Menselijke grip op algoritmen,2018/2019,https://zoek.officielebekendmakingen.nl/kst-35212-2,,,,,
Brief,"Informatie- en communicatietechnologie (ICT); Brief regering; AI, publieke waarden en mensenrechten"," Kamerstukken II 2019-2020, 26 643 en 32 761, nr. 642.",mensenrechten en publieke waarden,BZK,Informatie- en Communicatietechnologie (ICT) / Verwerking en bescherming persoonsgegevens,2019/2020,https://zoek.officielebekendmakingen.nl/kst-26643-642.html,,,,,
Motie,"	Motie van de leden Middendorp en Verhoeven over de effecten van sociale media en zoekmachines op verkiezingen","Kamerstuk 35 200, VII nr. 14",toepassing technologie,TK,Vaststelling van de begrotingsstaten van het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (VII) voor het jaar 2019,2018/2019,https://zoek.officielebekendmakingen.nl/kst-35000-VII-14,,,,,
Brief,Kabinetsreactie op jaarrapportage College voor de Rechten van de Mens,"Kamerstuk 33 826, nr. 25.",grondrechten,BZK,Mensenrechten in Nederland,2018/2019,https://zoek.officielebekendmakingen.nl/kst-33826-25.html,,,,,
Motie,"Gewijzigde motie van het lid Middendorp, Rijksinspectie Digitalisering",Kamerstuk 35000-VII,digitalisering (algemeen),TK,Stemmingen moties,2018/2019,https://zoek.officielebekendmakingen.nl/h-tk-20182019-16-8.html,,,,,
Motie,Motie van de leden Middendorp en Drost over voorwaarden voor het ontwikkelen van een richtlijn voor het gebruik van algoritmes door overheden,kst-35200-VII-14,regulering algoritmes,TK,Jaarverslag en slotwet Ministerie van Binnenlandse Zaken en Koninkrijksrelaties 2018,2018/2019,https://zoek.officielebekendmakingen.nl/kst-35200-VII-14.html,,,,,
Brief,Tegengaan statelijke dreigingen,"Kamerstuk 30821, nr. 72",impact AI,JenV,Nationale veiligheid,2018/2019,https://zoek.officielebekendmakingen.nl/kst-30821-72.html ,,,,,
Kabinetsreactie,Kabinetsreactie op de rapporten 'Opwaarderen. Het borgen van publieke waarden' en 'Mensenrechten in het robottijdperk',"Kamerstuk 26 643, nr. 529",publieke waarden,BZK,Informatie- en communicatietechnologie (ICT),2017/2018,https://zoek.officielebekendmakingen.nl/kst-26643-529.html ,,,,,
Brief,Nederlandse Digitaliseringsstrategie," Kamerstuk 26 643, nr. 541.",digitalisering (algemeen),EZK/JenV/BZK,Informatie- en communicatietechnologie (ICT),2017/2018,https://zoek.officielebekendmakingen.nl/kst-26643-541.html ,,,,,
Brief,Onderzoekrapport ‘Algoritmes en grondrechten’ van de Universiteit Utrecht,"kamerstuk, 26 643, nr. 553",grondrechten,BZK,Informatie- en communicatietechnologie (ICT),2017/2018,https://zoek.officielebekendmakingen.nl/kst-26643-553.html ,,,,,
Motie,Motie van de leden Van Dam en Van der Molen over een waardengedreven benadering van digitalisering,"Kamerstuk 32 761, nr. 90",digitalisetring (algemeen),TK,Verwerking en bescherming van persoonsgegevens,2017/2018,https://zoek.officielebekendmakingen.nl/h-tk-20172018-90-3,,,,,
Kabinetsreactie,Kabinetsreactie op het rapport opwaarderen,Kamerstuk I kst-CVIII-S ,publieke waarden,BZK,Rol van de overheid bij digitale dataverwerking en -uitwisseling II; privacy en toezicht op de inlichtingen- en veiligheidsdiensten,2017/2018,https://zoek.officielebekendmakingen.nl/kst-CVIII-S,,,,,
Fiche,Fiche: Mededeling Kunstmatige intelligentie voor Europa,"Kamerstuk 22 112, nr. 2578",AI in Europa,BZ,Nieuwe Commissievoorstellen en initiatieven van de lidstaten van de Europese Unie,2017/2018,https://zoek.officielebekendmakingen.nl/kst-22112-2578,,,,,
Kabinetsreactie,Kabinetsreactie op het rapport 'Weten is nog geen doen' ,"Kamerstuk  34775 VI, nr. 8",Weten is nog geen doen,,,2017/2018,https://www.tweedekamer.nl/kamerstukken/brieven_regering/detail?id=2018Z00 849&did=2018D01790,,,,,
