kst-26643-536,BRIEF VAN DE MINISTER VAN JUSTITIE EN VEILIGHEID,2,https://zoek.officielebekendmakingen.nl/kst-26643-536.xml,['kst-34700-34'],,"[('digitale', 10), ('ncsa', 9), ('kamer', 7), ('veiligheid', 7), ('cybersecurity', 7), ('minister', 6), ('agenda', 5), ('xpp', 5), ('afbm', 5), ('domein', 5)]"
kst-34851-3,MEMORIE VAN TOELICHTING,2,https://zoek.officielebekendmakingen.nl/kst-34851-3.xml,"['kst-32761-17', 'kst-32761-32', 'kst-32761-34', 'kst-32761-44', 'kst-32761-46', 'kst-32761-48', 'kst-32761-51', 'kst-32761-54', 'kst-32761-57', 'kst-32761-60', 'kst-32761-68', 'kst-32761-75', 'kst-32761-80', 'kst-32761-86', 'kst-32761-90', 'kst-32761-92', 'kst-29861-19', 'kst-32761-54', 'kst-32761-48', 'kst-32761-31', 'kst-25892-3', 'kst-32761-89', 'kst-26643-282', 'kst-26643-490', 'kst-32761-102', 'kst-32761-104', 'kst-32761-112', 'kst-32761-50', 'kst-32761-32', 'kst-32761-50', 'kst-32761-115', 'kst-26643-490', 'kst-26643-490', 'kst-26643-490', 'kst-33662-27', 'kst-34809-1', 'kst-32317-363', 'kst-34809-1', 'kst-25892-3', 'kst-25892-3', 'kst-32761-44', 'kst-25892-3', 'kst-31841-3', 'kst-31841-8', 'kst-25892-3', 'kst-25892-3', 'kst-25892-3', 'kst-25892-3', 'kst-25892-3', 'kst-25892-3', 'kst-25892-3', 'kst-25892-3', 'kst-25892-3', 'kst-25892-3', 'kst-25892-3', 'kst-25892-3', 'kst-25892-3', 'kst-25892-3', 'kst-25892-3', 'kst-25892-3', 'kst-32761-44', 'kst-31841-3', 'kst-31841-8', 'kst-25892-3', 'kst-25892-3', 'kst-25892-3']",,"[('0', 4024), ('entry', 1293), ('top', 1286), ('left', 1189), ('artikel', 952), ('verordening', 851), ('persoonsgegevens', 650), ('lid', 532), ('verwerking', 396), ('1', 396)]"
kst-29279-388,BRIEF VAN DE MINISTER VAN VEILIGHEID EN JUSTITIE,2,https://zoek.officielebekendmakingen.nl/kst-29279-388.xml,"['kst-29279-298', 'kst-26643-426', 'kst-29628-594']",,"[('beginselen', 10), ('digitalisering', 9), ('onderzoek', 9), ('verkenning', 7), ('rapport', 7), ('kernwaarden', 6), ('strafrechtspleging', 6), ('ict', 6), ('brief', 5), ('informatie', 5)]"
kst-34430-9,MEDEDELING,2,https://zoek.officielebekendmakingen.nl/kst-34430-9.xml,[],,"[('tekstregel', 4), ('http', 3), ('tweede', 3), ('kamer', 3), ('vergaderjaar', 2), ('2', 2), ('titel', 2), ('staatscommissie', 2), ('parlementair', 2), ('stelsel', 2)]"
kst-26643-549,BRIEF VAN DE STAATSSECRETARIS VAN BINNENLANDSE ZAKEN EN KONINKRIJKSRELATIES ,2,https://zoek.officielebekendmakingen.nl/kst-26643-549.xml,['kst-34700-34'],,"[('agenda', 8), ('we', 8), ('burgers', 7), ('ondernemers', 7), ('digitale', 6), ('overheid', 6), ('digitalisering', 6), ('tekstregel', 4), ('kamer', 4), ('maatschappelijke', 4)]"
kst-26643-557,ADVIES AFDELING ADVISERING RAAD VAN STATE EN NADER RAPPORT,2,https://zoek.officielebekendmakingen.nl/kst-26643-557.xml,"['kst-26643-549', 'kst-26643-549', 'kst-34430-5', 'kst-29398-390', 'kst-34986-1', 'kst-34972-4', 'kst-34986-4', 'kst-31855-4', 'kst-34851-4', 'kst-17050-541', 'kst-34993-2', 'kst-34986-4', 'kst-33326-13', 'kst-26643-373', 'kst-30800-VII-46', 'kst-27859-124', 'kst-34477-27']",,"[('0', 849), ('nadruk', 283), ('top', 257), ('entry', 256), ('left', 238), ('cur', 235), ('1', 205), ('overheid', 120), ('row', 77), ('burger', 74)]"
kst-34775-67,MOTIE VAN HET LID VELDMAN C.S.,2,https://zoek.officielebekendmakingen.nl/kst-34775-XIII-67.xml,[],,"[('tekstregel', 4), ('nederland', 3), ('doelen', 3), ('http', 2), ('vergaderjaar', 2), ('kamer', 2), ('2', 2), ('xiii', 2), ('titel', 2), ('begrotingsstaten', 2)]"
kst-34926-2,INITIATIEFNOTA,2,https://zoek.officielebekendmakingen.nl/kst-34926-2.xml,[],,"[('li', 28), ('onderlinge', 16), ('privacy', 16), ('cur', 11), ('mensen', 11), ('noot', 10), ('voet', 10), ('zoals', 9), ('vaak', 8), ('iedereen', 8)]"
kst-34700-34,BRIEF VAN DE INFORMATEUR,2,https://zoek.officielebekendmakingen.nl/kst-34700-34.xml,"['kst-34700-25', 'kst-34700-26', 'kst-34700-30']",,"[('fracties', 12), ('voorzitters', 11), ('vier', 10), ('kamer', 9), ('besprekingen', 9), ('tweede', 8), ('verslag', 7), ('cpb', 7), ('vvd', 6), ('cda', 6)]"
kst-27879-71,BRIEF VAN DE STAATSSECRETARIS VAN ECONOMISCHE ZAKEN EN KLIMAAT,2,https://zoek.officielebekendmakingen.nl/kst-27879-71.xml,"['kst-27879-63', 'kst-35134-2', 'kst-35134-3', 'kst-21501-20-1428', 'kst-30821-51']",,"[('platforms', 50), ('actief', 28), ('digitale', 28), ('platform', 27), ('europese', 25), ('bijvoorbeeld', 22), ('data', 22), ('noot', 21), ('voet', 21), ('markten', 20)]"
